Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
Sweet Talk,Saint Motel,indie pop,2016,2020‑08‑03,117,84,67,-4,23,71,192,4,5,68
Cold Cold Man,Saint Motel,indie pop,2014,2020‑07‑20,111,66,61,-5,10,51,231,1,3,68
Televised,HUNNY,indie pop,2017,2020‑05‑29,108,75,59,-8,13,43,195,0,4,68
The Fall,half•alive,indie pop,2017,2020‑05‑29,83,74,66,-6,7,55,187,3,5,68
Never Enough (Reprise),Loren Allred,deep talent show,2017,2018‑12‑11,82,5,38,-19,8,13,80,89,3,68
Saturday Nights,Khalid,alternative r&b,2018,2018‑10‑29,168,44,54,-9,10,37,210,64,12,68
I'm with You,Vance Joy,folk-pop,2018,2018‑02‑26,110,40,66,-9,10,12,240,81,3,68
Latch - Acoustic,Sam Smith,dance pop,2015,2017‑11‑04,96,25,37,-9,11,24,223,98,3,68
How Will I Know,Sam Smith,dance pop,2015,2017‑11‑04,85,13,43,-12,8,28,232,95,8,68
Should Have Known Better,Sufjan Stevens,baroque pop,2015,2017‑11‑01,91,17,57,-21,12,30,308,98,3,68
Seeing Blind,Niall Horan,dance pop,2017,2017‑10‑20,94,56,72,-8,11,48,185,4,4,68
Hotter Than Hell,Dua Lipa,dance pop,2017,2017‑10‑06,110,87,53,-4,6,53,188,1,9,68
Carry You,Novo Amor,ambient folk,2017,2017‑08‑10,93,40,33,-8,13,4,273,56,3,68
Bibia Be Ye Ye,Ed Sheeran,pop,2017,2017‑05‑14,127,68,74,-5,13,88,177,52,8,68
Nancy Mulligan,Ed Sheeran,pop,2017,2017‑05‑14,102,85,68,-4,9,86,180,12,3,68
Hero,Family of the Year,stomp and holler,2012,2014‑09‑29,175,54,34,-6,11,27,190,21,3,68
Butterflies,Fiji Blue,chill pop,2020,2021‑01‑05,110,53,73,-7,31,79,176,23,10,67
WORLD WE CREATED,Giveon,alternative r&b,2020,2020‑12‑15,144,51,59,-7,34,33,193,27,7,67
say it over (feat. Cautious Clay),Ruel,australian alternative pop,2020,2020‑10‑30,156,32,44,-11,61,15,239,57,4,67
Imported (with 6LACK),Jessie Reyez,canadian contemporary r&b,2019,2020‑09‑26,111,64,73,-4,11,36,225,20,5,67
Frozen,Sabrina Claudio,alternative r&b,2017,2020‑08‑03,119,42,49,-6,10,23,245,74,6,67
Bang!,AJR,modern rock,2020,2020‑05‑29,140,52,74,-6,6,70,171,2,5,67
Take Yourself Home,Troye Sivan,australian pop,2020,2020‑05‑29,101,61,37,-9,11,29,249,7,8,67
Better,Khalid,alternative r&b,2019,2019‑04‑06,98,55,69,-10,14,15,229,5,5,67
Someone New,Hozier,irish singer-songwriter,2014,2019‑03‑15,184,53,44,-6,33,60,223,43,5,67
Another Day Of Sun,La La Land Cast,,2016,2018‑12‑11,126,74,59,-7,65,82,228,2,5,67
"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,hollywood,2016,2018‑12‑11,112,12,49,-15,9,43,150,90,4,67
The Good Side,Troye Sivan,australian pop,2018,2018‑08‑31,112,28,43,-15,36,31,269,41,6,67
Make It To Me,Sam Smith,dance pop,2015,2017‑11‑04,150,38,46,-9,10,23,163,63,7,67
moonlight,dhruv,chill r&b,2020,2020‑05‑29,92,50,74,-11,10,56,159,64,17,66
Bad Luck,Khalid,alternative r&b,2019,2019‑04‑06,164,52,43,-6,14,30,232,28,5,66
Right Back,Khalid,alternative r&b,2019,2019‑04‑06,97,43,79,-10,17,61,215,6,31,66
The Other,Lauv,electropop,2018,2019‑03‑28,180,55,38,-7,8,38,189,42,7,66
Work Song,Hozier,irish singer-songwriter,2014,2019‑03‑15,121,36,53,-8,11,26,230,75,6,66
Roaring 20s,Panic! At The Disco,baroque pop,2018,2018‑06‑22,83,95,27,-2,16,52,187,5,26,66
The Fault in Our Stars,Troye Sivan,australian pop,2013,2018‑06‑13,75,18,48,-21,14,41,187,61,11,66
The Only Thing,Sufjan Stevens,baroque pop,2015,2017‑11‑01,159,14,52,-20,11,49,284,99,4,66
Blow Your Mind (Mwah),Dua Lipa,dance pop,2017,2017‑10‑06,109,80,65,-5,9,49,179,2,12,66
I Was Made For Loving You,Tori Kelly,dance pop,2016,2015‑09‑30,146,35,42,-12,10,20,189,35,3,66
I Will Follow You into the Dark,Death Cab for Cutie,indie pop,2005,2014‑10‑09,78,16,58,-15,12,48,189,92,4,66
Slowly,ODIE,alternative r&b,2020,2021‑01‑07,128,31,58,-14,10,29,188,70,3,65
There's Still A Light In The House,Valley,electropop,2019,2020‑11‑18,110,66,62,-9,30,34,203,2,5,65
Açaí Bowl,Dominic Fike,alternative pop rock,2019,2020‑11‑16,92,44,69,-8,11,35,177,50,4,65
Afterthought,Joji,alternative r&b,2020,2020‑11‑15,84,55,67,-8,9,19,195,40,4,65
fever dream,mxmtoon,bedroom pop,2020,2020‑10‑21,102,69,56,-6,9,19,196,13,3,65
Real Estate,Adam Melchor,indie anthem-folk,2018,2020‑09‑30,80,28,49,-13,15,20,216,95,3,65
hello!,ROLE MODEL,alternative r&b,2019,2020‑09‑30,126,46,79,-4,10,56,189,51,4,65
Selah,Kanye West,chicago rap,2019,2020‑09‑26,90,62,48,-6,32,15,165,65,20,65
Free Time,Ruel,australian alternative pop,2019,2020‑05‑29,100,48,64,-6,10,20,219,10,3,65
Make Me Your Queen,Declan McKenna,indie pop,2017,2020‑05‑29,125,67,49,-6,10,26,221,0,3,65
Hundred,Khalid,alternative r&b,2019,2019‑04‑06,120,48,77,-10,38,48,277,5,6,65
Comfortable,Lauv,electropop,2018,2019‑03‑28,140,55,43,-6,9,55,165,76,17,65
Chasing Fire,Lauv,electropop,2018,2019‑03‑28,126,56,71,-5,22,39,205,4,7,65
Breathe,Lauv,electropop,2018,2019‑03‑28,137,39,32,-8,34,19,238,73,4,65
Motion,Khalid,alternative r&b,2018,2019‑03‑06,81,61,55,-7,56,50,236,10,8,65
Mia & Sebastian’s Theme,Justin Hurwitz,hollywood,2016,2018‑12‑11,117,19,48,-16,12,11,98,98,6,65
Bloom,Troye Sivan,australian pop,2018,2018‑08‑31,121,70,71,-5,39,50,222,3,3,65
Death with Dignity,Sufjan Stevens,baroque pop,2015,2017‑11‑01,170,16,51,-21,11,38,240,99,4,65
On The Loose,Niall Horan,dance pop,2017,2017‑10‑20,124,60,72,-7,16,72,224,1,3,65
Genesis,Dua Lipa,dance pop,2017,2017‑10‑06,113,57,72,-7,26,43,206,2,7,65
No Goodbyes,Dua Lipa,dance pop,2017,2017‑10‑06,109,71,68,-5,8,31,216,1,4,65
Eraser,Ed Sheeran,pop,2017,2017‑05‑14,86,81,64,-6,5,91,227,9,8,65
Never Be Alone,Shawn Mendes,canadian pop,2015,2015‑06‑11,200,47,38,-7,8,28,216,51,4,65
Disenchanted,My Chemical Romance,emo,2006,2014‑10‑25,174,69,34,-4,11,15,295,0,4,65
Sweater Weather,The Neighbourhood,modern alternative rock,2012,2014‑10‑11,124,62,70,-5,9,41,240,15,4,65
Post Humorous,Gus Dapperton,bedroom pop,2020,2020‑12‑14,120,84,64,-5,8,78,280,1,3,64
Way It Goes,Hippo Campus,indie pop,2017,2020‑11‑29,120,91,54,-4,38,52,245,2,5,64
Daft Pretty Boys,Bad Suns,indie pop,2016,2020‑11‑29,137,84,66,-5,9,61,187,6,6,64
Suffocate,Hayd,,2020,2020‑11‑16,122,6,65,-22,18,16,242,85,4,64
SUPERPOSITION,Daniel Caesar,canadian contemporary r&b,2019,2020‑10‑27,116,28,59,-11,9,33,264,91,4,64
Brainstorm,Alexander 23,electropop,2020,2020‑10‑25,77,32,66,-12,11,26,186,82,4,64
Cemetery,COIN,indie pop,2020,2020‑10‑04,127,80,65,-7,12,93,177,12,3,64
Chilly,NIKI,indonesian r&b,2017,2020‑09‑26,103,27,73,-12,10,24,230,62,38,64
Melting,Kali Uchis,colombian pop,2015,2020‑09‑26,115,48,57,-8,11,30,209,18,4,64
Tints (feat. Kendrick Lamar),Anderson .Paak,escape room,2018,2020‑09‑26,109,83,81,-7,6,70,268,9,12,64
She,Jake Scott,contemporary country,2019,2020‑08‑19,134,34,51,-11,53,12,209,10,3,64
Drunk on Halloween,Wallows,indie pop,2018,2020‑05‑29,101,63,63,-4,9,77,237,23,2,64
That I Miss You,Vansire,bedroom pop,2018,2020‑05‑29,115,57,78,-9,11,97,140,31,4,64
Don't Pretend (feat. SAFE),Khalid,alternative r&b,2019,2019‑04‑06,89,55,70,-9,12,22,166,26,8,64
Enemies,Lauv,electropop,2018,2019‑03‑28,126,69,70,-5,12,60,195,18,4,64
Someone In The Crowd,Emma Stone,hollywood,2016,2018‑12‑11,128,54,62,-9,19,28,260,9,17,64
A Lovely Night,Ryan Gosling,hollywood,2016,2018‑12‑11,135,48,36,-9,12,49,237,30,5,64
City Of Stars,Ryan Gosling,hollywood,2016,2018‑12‑11,98,8,59,-19,9,20,111,95,5,64
Vertigo,Khalid,alternative r&b,2018,2018‑10‑29,116,46,49,-8,12,21,270,55,4,64
King of the Clouds,Panic! At The Disco,baroque pop,2018,2018‑06‑22,198,92,28,-2,16,47,161,24,25,64
Dying in LA,Panic! At The Disco,baroque pop,2018,2018‑06‑22,126,35,35,-5,7,32,229,88,3,64
Like Gold,Vance Joy,folk-pop,2018,2018‑02‑26,110,71,48,-7,12,41,224,22,7,64
Closer,Lemaitre,alternative dance,2017,2018‑01‑12,92,79,58,-4,12,36,271,0,3,64
Slow Hands,Niall Horan,dance pop,2017,2018‑01‑08,86,42,74,-7,6,85,188,1,5,64
Futile Devices (Doveman Remix),Sufjan Stevens,baroque pop,2017,2017‑12‑18,140,19,46,-20,10,25,135,95,3,64
Be the One,Dua Lipa,dance pop,2017,2017‑10‑06,87,65,66,-4,6,37,203,12,5,64
Last Dance,Dua Lipa,dance pop,2017,2017‑10‑06,136,58,59,-6,10,38,229,2,5,64
Nothin' Like You,Dan + Shay,contemporary country,2014,2015‑04‑26,85,70,59,-5,7,44,186,15,3,64
Of The Night,Bastille,metropopolis,2013,2014‑10‑11,125,83,67,-7,9,35,214,2,4,64
Rhythm Of Love,Plain White T's,neo mellow,2010,2014‑09‑25,172,54,53,-8,12,73,200,36,4,64
Worthy Of You,Plested,indie anthem-folk,2018,2020‑11‑16,58,45,45,-9,48,39,191,44,6,63
is your bedroom ceiling bored? (feat. Cavetown),Sody,indie cafe pop,2020,2020‑11‑15,124,45,62,-10,9,20,208,53,11,63
notice me (feat. BENEE),ROLE MODEL,alternative r&b,2019,2020‑09‑30,126,48,72,-7,30,25,192,14,4,63
Losing You,boy pablo,bedroom pop,2018,2020‑05‑29,104,77,60,-11,10,81,187,1,4,63
My Bad,Khalid,alternative r&b,2019,2019‑04‑06,85,58,58,-9,26,37,164,55,9,63
Paradise,Khalid,alternative r&b,2019,2019‑04‑06,75,45,58,-10,9,52,174,21,15,63
Twenty One,Khalid,alternative r&b,2019,2019‑04‑06,110,45,78,-9,12,41,184,21,4,63
Alive,Khalid,alternative r&b,2019,2019‑04‑06,79,41,39,-10,17,21,177,83,4,63
Jackie and Wilson,Hozier,irish singer-songwriter,2014,2019‑03‑15,82,73,56,-4,9,74,223,6,4,63
From Eden,Hozier,irish singer-songwriter,2014,2019‑03‑15,142,67,40,-6,12,28,283,58,5,63
Lucky Strike,Troye Sivan,australian pop,2018,2018‑08‑31,103,69,61,-7,9,56,209,58,5,63
(Fuck A) Silver Lining,Panic! At The Disco,baroque pop,2018,2018‑06‑22,105,94,58,-1,24,71,169,3,11,63
Dancing's Not a Crime,Panic! At The Disco,baroque pop,2018,2018‑06‑22,94,89,53,-2,38,80,219,4,5,63
One of the Drunks,Panic! At The Disco,baroque pop,2018,2018‑06‑22,174,89,42,-4,71,76,199,4,19,63
Lay It on Me,Vance Joy,folk-pop,2018,2018‑02‑26,128,66,73,-6,7,53,215,10,3,63
Pray,Sam Smith,dance pop,2017,2017‑11‑04,88,38,54,-9,9,15,222,28,4,63
Paper Houses,Niall Horan,dance pop,2017,2017‑10‑20,177,42,43,-9,9,29,215,12,3,63
The Kids Aren't Alright,Fall Out Boy,emo,2015,2014‑12‑16,116,76,62,-4,30,33,261,0,3,63
Afire Love,Ed Sheeran,pop,2014,2014‑10‑04,98,64,55,-7,14,33,314,46,4,63
The Only Boy Awake,Meadows,orebro indie,2016,2020‑11‑16,122,48,52,-10,11,41,163,61,3,62
The Subway Song,Delacey,modern alternative pop,2020,2020‑10‑15,108,66,58,-6,14,41,242,12,6,62
Getting Over You,Lauv,electropop,2018,2019‑03‑28,92,51,60,-8,9,11,256,27,4,62
Angel of Small Death and the Codeine Scene,Hozier,irish singer-songwriter,2014,2019‑03‑15,94,64,36,-6,12,39,219,20,5,62
On the Train Ride Home,The Paper Kites,australian indie folk,2018,2019‑01‑17,103,20,61,-19,11,20,227,81,3,62
Better,Khalid,alternative r&b,2018,2018‑10‑29,98,59,70,-10,11,11,229,10,7,62
Fourth of July,Sufjan Stevens,baroque pop,2015,2017‑11‑01,120,10,44,-22,12,16,279,97,5,62
Youuu,COIN,indie pop,2020,2020‑11‑29,103,62,53,-7,29,8,235,0,3,61
BLUE,Troye Sivan,australian pop,2015,2020‑10‑21,130,54,39,-8,12,21,212,59,4,61
Bluffin',Khalid,alternative r&b,2019,2019‑04‑06,130,31,53,-10,10,29,199,35,5,61
Reforget,Lauv,electropop,2018,2019‑03‑28,170,47,44,-8,17,23,232,45,11,61
Nirvana,Sam Smith,dance pop,2015,2017‑11‑04,98,58,50,-8,10,39,202,53,5,61
Drowning Shadows,Sam Smith,dance pop,2015,2017‑11‑04,68,33,29,-8,9,29,254,91,3,61
Mirrors,Niall Horan,dance pop,2017,2017‑10‑20,140,61,57,-7,13,37,218,1,3,61
Light,Sleeping At Last,ambient worship,2014,2017‑08‑10,105,39,22,-9,7,4,263,53,3,61
Wildfire,Seafret,folk-pop,2016,2017‑08‑04,132,58,59,-8,11,19,225,25,3,61
Missing You,All Time Low,modern rock,2015,2015‑05‑01,100,73,56,-6,28,40,245,5,3,61
Chains,Nick Jonas,dance pop,2015,2015‑04‑26,76,61,59,-6,8,12,203,2,5,61
Love Runs Out,OneRepublic,dance pop,2014,2014‑09‑29,120,94,72,-4,10,74,224,17,6,61
In Too Deep,Why Don't We,boy band,2018,2020‑12‑16,152,44,66,-7,20,25,195,26,6,60
Only Friend,Wallows,indie pop,2019,2020‑11‑29,154,84,30,-5,34,8,182,0,4,60
CAN YOU HEAR THE MOON,Grady,indie electropop,2019,2020‑06‑30,146,50,34,-6,42,50,183,2,6,60
Was It Something I Said (feat. Cavetown),MyKey,bedroom pop,2020,2020‑05‑29,107,73,58,-6,14,80,231,49,3,60
I Don't Miss You at All,FINNEAS,electropop,2019,2020‑05‑29,148,32,84,-8,10,53,129,61,22,60
arrow,half•alive,indie pop,2019,2020‑05‑29,100,61,80,-6,10,77,223,1,9,60
Get to You Again,Mac Ayres,alternative r&b,2018,2020‑05‑29,118,43,50,-10,33,28,267,20,5,60
Superhuman,NCT 127,k-pop,2019,2019‑05‑24,117,80,68,-5,7,61,238,4,34,60
Intro,Khalid,alternative r&b,2019,2019‑04‑06,80,41,21,-10,9,6,213,31,3,60
Easy Love,Lauv,electropop,2018,2019‑03‑28,137,48,75,-8,8,23,224,30,5,60
Start A Fire,John Legend,neo soul,2016,2018‑12‑11,102,83,53,-6,77,31,192,7,5,60
Audition (The Fools Who Dream),Emma Stone,hollywood,2016,2018‑12‑11,58,16,34,-12,35,31,228,76,5,60
Epilogue,Justin Hurwitz,hollywood,2016,2018‑12‑11,127,27,41,-12,52,14,459,66,4,60
make you feel pretty,lovelytheband,indie pop,2018,2018‑09‑26,105,75,67,-6,18,76,231,19,4,60
What A Heavenly Way To Die,Troye Sivan,australian pop,2018,2018‑08‑31,122,63,72,-7,9,59,188,44,3,60
The Overpass,Panic! At The Disco,baroque pop,2018,2018‑06‑22,133,96,52,-2,36,61,178,2,17,60
Old Fashioned,Panic! At The Disco,baroque pop,2018,2018‑06‑22,168,88,52,-2,4,78,167,1,6,60
Wild Love,James Bay,modern rock,2018,2018‑06‑03,70,58,50,-7,11,27,197,8,5,60
Slide,James Bay,modern rock,2018,2018‑06‑03,126,23,50,-8,9,35,204,89,4,60
Jonestown (Interlude),Post Malone,dfw rap,2018,2018‑05‑08,78,45,38,-10,26,29,112,76,4,60
We're Going Home,Vance Joy,folk-pop,2018,2018‑02‑26,190,68,39,-5,14,43,206,32,4,60
Glory (From the Motion Picture Selma),Common,alternative hip hop,2014,2015‑04‑26,83,59,57,-6,13,57,273,87,4,60
What Are Words,Chris Medina,,2011,2014‑10‑11,124,24,60,-7,9,46,189,84,3,60
Backseat Serenade,All Time Low,modern rock,2012,2014‑10‑04,140,97,51,-4,17,49,201,0,5,60
Bad Texter,Ryan Woods,modern indie pop,2020,2020‑11‑03,95,63,61,-7,34,62,193,5,4,59
Home,Bruno Major,indie cafe pop,2017,2020‑10‑21,131,45,48,-7,9,12,201,83,4,59
Emerald,RINI,alternative r&b,2017,2020‑05‑29,172,21,56,-14,9,35,212,89,4,59
Heaven,Khalid,alternative r&b,2019,2019‑04‑06,117,48,42,-9,7,11,213,61,4,59
To Be Alone,Hozier,irish singer-songwriter,2014,2019‑03‑15,67,44,56,-7,14,26,324,40,3,59
Planetarium,Justin Hurwitz,hollywood,2016,2018‑12‑11,129,14,25,-15,55,4,257,92,4,59
Engagement Party,Justin Hurwitz,hollywood,2016,2018‑12‑11,80,7,40,-23,11,33,87,99,4,59
Seventeen,Troye Sivan,australian pop,2018,2018‑08‑31,119,74,61,-7,32,35,218,17,4,59
Happy Little Pill,Troye Sivan,australian pop,2014,2018‑06‑08,92,59,57,-7,11,4,225,0,4,59
Love Is A Losing Game,Sam Smith,dance pop,2015,2017‑11‑04,75,23,24,-9,11,18,178,95,4,59
One Last Song,Sam Smith,dance pop,2017,2017‑11‑04,103,53,67,-6,32,49,193,37,3,59
Midnight Train,Sam Smith,dance pop,2017,2017‑11‑04,96,60,71,-7,18,40,207,38,7,59
Palace,Sam Smith,dance pop,2017,2017‑11‑04,78,19,35,-10,12,27,187,74,3,59
Since We're Alone,Niall Horan,dance pop,2017,2017‑10‑20,127,67,71,-8,12,82,243,31,3,59
Fire Away,Niall Horan,dance pop,2017,2017‑10‑20,140,48,60,-11,10,26,206,26,3,59
You And Me,Niall Horan,dance pop,2017,2017‑10‑20,154,48,56,-8,32,60,185,7,3,59
On My Own,Niall Horan,dance pop,2017,2017‑10‑20,185,66,21,-6,12,18,241,0,4,59
Next to Me,Otto Knows,big room,2015,2015‑12‑27,127,75,60,-5,11,31,202,79,7,59
hiccup,Valley,electropop,2020,2020‑11‑18,160,59,42,-9,33,55,164,4,8,58
My Heart Is Buried In Venice,Ricky Montgomery,indie pop,2016,2020‑09‑26,112,41,67,-8,9,14,185,44,3,58
Photograph,offonoff,chill r&b,2017,2020‑09‑26,90,46,60,-8,11,18,239,81,6,58
Do Not Wait,Wallows,indie pop,2019,2020‑09‑26,100,47,23,-10,16,7,391,3,3,58
Monsta,BENEE,nz pop,2019,2020‑08‑03,219,67,60,-5,12,67,222,3,20,58
Photograph,Cody Fry,indie cafe pop,2020,2020‑06‑14,114,25,40,-10,8,29,210,95,3,58
Self,Khalid,alternative r&b,2019,2019‑04‑06,144,69,62,-8,10,44,230,44,33,58
Paranoid,Lauv,electropop,2018,2019‑03‑28,108,24,70,-8,15,13,193,64,5,58
Bracelet,Lauv,electropop,2018,2019‑03‑28,114,74,65,-5,22,27,262,20,4,58
In the Woods Somewhere,Hozier,irish singer-songwriter,2014,2019‑03‑15,98,43,35,-9,12,19,331,78,3,58
City Of Stars (Humming),Justin Hurwitz,hollywood,2016,2018‑12‑11,93,1,56,-25,11,40,163,98,3,58
Animal,Troye Sivan,australian pop,2018,2018‑08‑31,122,31,34,-11,30,5,265,54,4,58
Pink Lemonade,James Bay,modern rock,2018,2018‑06‑03,152,92,48,-3,75,70,253,0,5,58
Can't Hide,Whethan,edm,2016,2018‑01‑11,180,69,61,-3,17,32,184,4,9,58
Say It First,Sam Smith,dance pop,2017,2017‑11‑04,120,41,57,-10,11,16,248,77,9,58
Burning,Sam Smith,dance pop,2017,2017‑11‑04,87,22,63,-9,28,37,203,89,4,58
"Baby, You Make Me Crazy",Sam Smith,dance pop,2017,2017‑11‑04,170,65,51,-8,18,50,208,1,10,58
No Peace,Sam Smith,dance pop,2017,2017‑11‑04,136,54,66,-8,12,15,283,34,8,58
The Tide,Niall Horan,dance pop,2017,2017‑10‑20,135,83,56,-5,8,64,201,0,4,58
Neptune,Sleeping At Last,ambient worship,2014,2017‑08‑10,120,37,60,-12,9,21,280,23,3,58
Colourway,Novo Amor,ambient folk,2017,2017‑08‑10,159,37,26,-10,11,15,228,96,3,58
Stay,Mayday Parade,emo,2011,2014‑10‑25,112,88,52,-4,33,24,215,0,4,58
Home,Fiji Blue,chill pop,2020,2021‑01‑06,122,45,84,-8,17,53,161,46,4,57
A Dream of You,Far Caspian,leeds indie,2019,2020‑12‑14,101,66,66,-10,11,78,258,8,3,57
Burn the House Down,AJR,modern rock,2018,2020‑11‑26,184,66,45,-4,18,57,212,4,17,57
TELÉFONO,Aitana,latin pop,2018,2020‑10‑21,172,83,69,-5,7,56,163,10,16,57
Joyride,Adam Melchor,indie anthem-folk,2019,2020‑09‑30,132,51,52,-7,14,44,213,20,3,57
You There,Aquilo,indie cafe pop,2014,2020‑09‑28,77,21,31,-15,8,5,254,97,3,57
Next to You,New West,toronto indie,2020,2020‑07‑20,172,64,37,-6,39,44,232,35,3,57
Wrong About Forever,Jeff Bernat,chill r&b,2019,2020‑05‑29,64,44,60,-9,19,26,198,54,12,57
Come Back Home,Lauv,electropop,2018,2019‑03‑28,124,47,44,-8,14,33,232,12,4,57
Adrenaline,Lauv,electropop,2018,2019‑03‑28,95,69,64,-4,7,62,206,35,11,57
In a Week (feat. Karen Cowley),Hozier,irish singer-songwriter,2014,2019‑03‑15,131,27,47,-12,14,18,318,79,3,57
Run,Hozier,irish singer-songwriter,2014,2019‑03‑15,72,39,37,-8,11,27,255,51,3,57
Herman’s Habit,Justin Hurwitz,hollywood,2016,2018‑12‑11,124,59,59,-9,21,67,112,6,5,57
these are my friends,lovelytheband,indie pop,2018,2018‑09‑26,85,73,62,-7,13,72,209,3,3,57
Postcard (feat. Gordi),Troye Sivan,australian pop,2018,2018‑08‑31,98,36,43,-9,10,25,217,91,4,57
The Danish Girl,Alexandre Desplat,compositional ambient,2015,2018‑05‑15,102,18,19,-19,26,6,131,93,3,57
Catch Me (feat. Naaz),Yellow Claw,bass trap,2015,2018‑01‑11,145,92,56,-3,10,59,162,4,7,57
Sweet Tooth,Scott Helman,canadian folk,2017,2017‑05‑14,95,90,70,-5,11,47,202,0,11,57
"Oh, Tonight (feat. Kacey Musgraves)",Josh Abbott Band,contemporary country,2010,2015‑04‑26,150,64,57,-5,13,32,206,34,3,57
Love Don't Die,The Fray,neo mellow,2014,2014‑10‑26,115,81,63,-4,20,28,183,1,3,57
Riptide,Vance Joy,folk-pop,2013,2014‑10‑05,102,73,48,-7,15,51,204,43,4,57
Violet,Bad Suns,indie pop,2016,2020‑11‑29,103,87,69,-5,5,77,198,1,4,56
loneliness for love,lovelytheband,indie pop,2020,2020‑10‑04,133,95,59,-5,6,73,238,1,3,56
Stories,Refs,indie electropop,2019,2020‑09‑26,122,50,56,-8,11,8,219,20,4,56
Broken (feat. Jessie Reyez),THEY.,alternative r&b,2018,2020‑09‑26,132,62,64,-5,46,52,135,69,17,56
Reachin' 2 Much (feat. Lalah Hathaway),Anderson .Paak,escape room,2019,2020‑09‑26,120,65,59,-5,11,33,355,0,7,56
Trying,Cavetown,bedroom pop,2020,2020‑06‑03,125,43,67,-13,12,22,260,27,3,56
Falling for the Wrong One,Dreamer Boy,alternative r&b,2018,2020‑05‑29,119,67,67,-8,32,46,252,3,3,56
Summer Montage / Madeline,Justin Hurwitz,hollywood,2016,2018‑12‑11,108,50,60,-7,26,65,125,11,3,56
"maybe, i'm afraid",lovelytheband,indie pop,2018,2018‑09‑26,71,70,28,-8,43,24,189,6,4,56
Do-Re-Mi,Julie Andrews,adult standards,1964,2018‑06‑28,132,23,51,-11,27,50,332,83,6,56
Paris Latino - Original Version 1983,Bandolero,,2011,2017‑12‑18,115,68,77,-7,9,68,242,11,14,56
I'm Not The Only One,Sam Smith,dance pop,2015,2017‑11‑04,82,52,62,-7,7,55,223,53,6,56
Ships In The Night,Mat Kearney,acoustic pop,2011,2015‑04‑29,178,89,45,-4,5,13,256,11,6,56
Love Like This,Kodaline,irish pop,2013,2015‑02‑04,124,82,46,-5,27,35,216,5,4,56
Affection,Fiji Blue,chill pop,2020,2020‑12‑19,113,49,83,-8,10,84,174,32,6,55
What Would You Do,Bastille,metropopolis,2013,2020‑12‑16,90,73,58,-6,39,36,183,38,4,55
Off She Goes,Bad Suns,indie pop,2016,2020‑11‑23,132,84,62,-5,11,45,236,9,3,55
kissing girls,Grady,indie electropop,2020,2020‑08‑03,181,46,42,-7,49,72,101,93,11,55
Pyjama Pants,Cavetown,bedroom pop,2020,2020‑06‑19,120,34,58,-14,10,11,239,58,4,55
Promise Me,Badflower,modern alternative rock,2019,2020‑04‑06,104,80,59,-5,14,35,230,0,3,55
Highway to Heaven,NCT 127,k-pop,2019,2019‑05‑24,113,73,64,-5,10,54,201,3,6,55
Sedated,Hozier,irish singer-songwriter,2014,2019‑03‑15,86,59,66,-5,10,26,208,18,3,55
It Will Come Back,Hozier,irish singer-songwriter,2014,2019‑03‑15,86,45,50,-8,16,15,278,38,3,55
Foreigner's God,Hozier,irish singer-songwriter,2014,2019‑03‑15,89,45,50,-8,11,38,225,16,3,55
Plum,Troye Sivan,australian pop,2018,2018‑08‑31,97,59,69,-7,8,56,186,1,5,55
My Favorite Things,Julie Andrews,adult standards,1964,2018‑06‑28,76,26,53,-12,18,65,137,84,9,55
Edelweiss,Bill Lee,disney,1964,2018‑06‑28,99,12,30,-20,12,35,136,86,3,55
Call If You Need Me,Vance Joy,folk-pop,2018,2018‑02‑26,110,57,75,-6,10,46,164,88,3,55
The Thrill Of It All,Sam Smith,dance pop,2017,2017‑11‑04,127,28,50,-9,11,10,209,81,5,55
All of Me Wants All of You,Sufjan Stevens,baroque pop,2015,2017‑11‑01,144,28,44,-17,12,16,222,97,5,55
Eugene,Sufjan Stevens,baroque pop,2015,2017‑11‑01,84,12,56,-24,28,67,147,97,4,55
John My Beloved,Sufjan Stevens,baroque pop,2015,2017‑11‑01,120,7,58,-23,14,24,305,96,4,55
Lost In Your Light (feat. Miguel),Dua Lipa,dance pop,2017,2017‑10‑06,117,77,65,-4,10,41,204,0,6,55
North,Sleeping At Last,ambient worship,2014,2017‑08‑10,86,14,37,-13,11,32,259,87,5,55
Give Me Something,Seafret,folk-pop,2016,2017‑08‑04,132,44,56,-11,11,12,159,83,4,55
Somewhere Only We Know,Keane,neo mellow,2013,2015‑04‑26,172,61,44,-6,10,36,236,7,3,55
Start Again,Conrad Sewell,australian pop,2015,2015‑04‑26,67,34,55,-9,12,22,218,68,4,55
Wanderlust,The Weeknd,canadian contemporary r&b,2013,2014‑10‑25,116,65,64,-5,7,7,307,7,4,55
How You Love Me,3LAU,big room,2014,2014‑09‑25,128,79,50,-4,34,29,210,18,8,55
Sweet Tooth,Cavetown,bedroom pop,2020,2020‑12‑16,140,31,57,-13,11,24,246,26,3,54
We Come Running,Youngblood Hawke,indie poptimism,2012,2020‑10‑21,125,74,56,-7,12,31,249,0,4,54
Haunted,The Band CAMINO,electropop,2019,2020‑10‑04,144,92,46,-4,13,46,263,1,7,54
Broken,AK,,2019,2020‑09‑26,133,46,45,-9,10,18,217,58,8,54
