Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
Strawberries & Cigarettes,Troye Sivan,australian pop,2018,2020‑11‑24,84,54,58,-9,8,25,202,16,8,81
Feeling Whitney,Post Malone,dfw rap,2016,2020‑11‑15,80,23,41,-13,28,23,257,79,4,81
Backyard Boy,Claire Rosinkranz,modern indie pop,2020,2020‑08‑03,138,64,82,-7,7,45,129,32,16,81
Goodie Bag,Still Woozy,bedroom pop,2017,2020‑05‑29,138,52,74,-12,23,62,146,82,15,81
Buttercup,Jack Stauber,pittsburgh indie,2017,2020‑05‑29,120,37,71,-9,29,55,208,72,4,81
Sweet Creature,Harry Styles,pop,2017,2017‑05‑14,104,26,43,-9,7,23,225,75,3,81
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,pop,2019,2020‑12‑07,78,43,38,-7,9,13,177,9,3,80
Ashes,Stellar,social media pop,2020,2020‑11‑19,130,57,71,-8,17,46,166,9,5,80
Godspeed,Frank Ocean,alternative r&b,2016,2020‑08‑03,110,10,42,-13,13,8,178,93,5,80
1950,King Princess,dance pop,2018,2020‑05‑29,72,54,60,-7,16,27,225,65,11,80
This Town,Niall Horan,dance pop,2017,2017‑10‑20,112,40,68,-8,12,20,233,71,3,80
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,melodic rap,2017,2017‑10‑09,82,76,70,-4,11,70,222,62,5,80
Galway Girl,Ed Sheeran,pop,2017,2017‑05‑14,100,88,62,-3,33,78,171,7,10,80
Supermarket Flowers,Ed Sheeran,pop,2017,2017‑05‑14,90,24,59,-11,9,26,221,91,4,80
Drops of Jupiter (Tell Me),Train,dance pop,2001,2014‑10‑04,79,64,47,-6,15,50,260,15,3,80
Jealous,Labrinth,indie poptimism,2014,2020‑11‑15,117,15,44,-9,11,10,288,87,5,79
Daylight,Joji,alternative r&b,2020,2020‑10‑09,164,75,53,-8,9,73,164,0,5,79
Water Fountain,Alec Benjamin,electropop,2018,2020‑08‑03,134,50,72,-6,9,55,219,39,4,79
This Is Me,Keala Settle,broadway,2017,2018‑12‑11,192,70,28,-7,4,10,235,1,19,79
Candy Paint,Post Malone,dfw rap,2018,2018‑05‑08,180,67,66,-6,8,38,228,64,15,79
Castle on the Hill,Ed Sheeran,pop,2017,2017‑05‑14,135,83,46,-5,14,47,261,2,10,79
This Is Home,Cavetown,bedroom pop,2015,2020‑12‑17,130,27,81,-12,10,21,226,56,4,78
Turning Page,Sleeping At Last,ambient worship,2012,2020‑11‑10,115,37,31,-8,11,19,256,92,3,78
Trampoline (with ZAYN),SHAED,electropop,2019,2020‑09‑26,127,46,62,-6,14,50,184,56,3,78
All For Us - from the HBO Original Series Euphoria,Labrinth,indie poptimism,2019,2020‑09‑26,71,65,35,-7,33,17,193,2,9,78
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,ohio hip hop,2017,2020‑09‑26,82,72,65,-5,5,22,203,0,21,78
The Night We Met,Lord Huron,indie folk,2015,2020‑08‑03,87,37,55,-10,64,10,208,97,4,78
Japanese Denim,Daniel Caesar,canadian contemporary r&b,2016,2020‑08‑03,124,24,71,-9,8,35,271,9,4,78
Pluto Projector,Rex Orange County,bedroom pop,2019,2020‑05‑29,80,22,38,-11,12,19,268,71,3,78
Talk (feat. Disclosure),Khalid,alternative r&b,2019,2019‑04‑06,136,40,90,-9,6,35,198,5,13,78
A Million Dreams,Ziv Zaifman,show tunes,2017,2018‑12‑12,55,31,27,-12,9,10,269,24,6,78
Never Enough,Loren Allred,deep talent show,2017,2018‑12‑11,87,39,28,-9,10,23,208,42,3,78
The Greatest Show,Hugh Jackman,hollywood,2017,2018‑12‑11,158,82,42,-7,7,40,302,0,11,78
Rewrite The Stars,Zac Efron,dance pop,2017,2018‑12‑11,125,62,68,-7,12,28,217,7,4,78
Us,James Bay,modern rock,2018,2018‑06‑03,70,47,56,-4,11,34,181,18,4,78
Stay,Post Malone,dfw rap,2018,2018‑05‑08,86,48,51,-5,15,35,204,45,3,78
Slow Hands,Niall Horan,dance pop,2017,2017‑10‑20,86,43,74,-7,6,85,188,1,5,78
From the Dining Table,Harry Styles,pop,2017,2017‑05‑14,94,16,67,-16,11,20,212,80,4,78
Renegades,X Ambassadors,modern alternative rock,2015,2015‑07‑11,90,86,53,-6,23,53,195,1,9,78
Secrets,OneRepublic,dance pop,2009,2014‑10‑04,148,76,52,-6,12,38,225,7,4,78
worldstar money (interlude),Joji,alternative r&b,2018,2020‑11‑18,147,39,58,-9,21,46,126,96,27,77
Physical,Dua Lipa,dance pop,2020,2020‑11‑15,147,84,65,-4,10,75,194,1,5,77
Hot Rod,Dayglow,austindie,2019,2020‑05‑29,140,77,71,-7,17,83,204,3,3,77
Lay Me Down,Sam Smith,dance pop,2015,2017‑11‑04,125,19,47,-11,11,33,220,92,4,77
Dive,Ed Sheeran,pop,2017,2017‑05‑14,135,39,76,-6,10,53,238,36,4,77
Two Ghosts,Harry Styles,pop,2017,2017‑05‑14,69,41,39,-7,10,46,230,23,3,77
Bad Day,Daniel Powter,canadian pop,2005,2014‑10‑11,140,79,60,-4,15,52,234,45,3,77
21 Guns,Green Day,permanent wave,2009,2014‑10‑04,160,74,27,-5,63,42,321,5,4,77
Superheroes,The Script,celtic rock,2014,2014‑09‑27,167,89,49,-4,7,64,245,0,4,77
Phases,PRETTYMUCH,boy band,2019,2020‑12‑06,106,64,77,-7,7,49,216,17,13,76
Candy,Robbie Williams,dance pop,2012,2020‑11‑19,116,79,72,-7,7,88,201,4,4,76
Painkiller,Ruel,australian alternative pop,2019,2020‑11‑15,129,42,68,-7,23,47,214,9,5,76
Chamber Of Reflection,Mac DeMarco,edmonton indie,2014,2020‑05‑29,131,56,54,-9,10,51,232,26,9,76
Free Spirit,Khalid,alternative r&b,2019,2019‑04‑06,140,45,63,-9,11,11,182,31,3,76
Never Not,Lauv,electropop,2018,2019‑03‑28,134,22,47,-9,10,26,208,69,4,76
Take Me to Church,Hozier,irish singer-songwriter,2014,2019‑03‑15,129,66,57,-5,12,44,242,63,5,76
The Other Side,Hugh Jackman,hollywood,2017,2018‑12‑11,154,80,64,-8,15,31,214,0,30,76
broken,lovelytheband,indie pop,2018,2018‑09‑26,123,73,67,-6,4,51,205,0,4,76
Too Good At Goodbyes,Sam Smith,dance pop,2017,2017‑11‑04,92,37,68,-8,17,48,201,64,4,76
Too Much To Ask,Niall Horan,dance pop,2017,2017‑10‑20,77,53,44,-7,13,20,223,37,4,76
Meet Me in the Hallway,Harry Styles,pop,2017,2017‑05‑15,104,38,54,-7,36,34,227,75,2,76
Love Song,Sara Bareilles,acoustic pop,2007,2014‑10‑11,123,79,58,-3,19,57,259,2,3,76
Ew,Joji,alternative r&b,2020,2020‑10‑31,114,37,48,-9,12,4,208,80,3,75
Honeybee,The Head and the Heart,folk-pop,2019,2020‑05‑29,136,52,64,-8,55,49,196,12,4,75
