Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
Nothin' on You (feat. Bruno Mars),B.o.B,atl hip hop,2010,2020‑12‑19,104,85,69,-6,9,74,268,39,5,75
One Thing,One Direction,boy band,2012,2020‑12‑19,127,72,71,-4,8,66,198,0,3,75
I Gotta Feeling,Black Eyed Peas,dance pop,2009,2020‑12‑19,128,77,74,-6,51,61,289,9,3,75
Troublemaker (feat. Flo Rida),Olly Murs,dance pop,2012,2020‑12‑19,106,86,76,-4,13,97,186,2,6,75
California Gurls,Katy Perry,dance pop,2012,2020‑12‑19,125,75,79,-4,16,43,235,0,6,75
Count on Me,Bruno Mars,dance pop,2010,2020‑12‑19,89,40,58,-6,8,51,197,84,3,75
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,dance pop,2012,2020‑12‑19,130,88,67,-3,26,55,195,6,4,75
El Perdón,Nicky Jam,latin,2017,2020‑12‑19,180,69,63,-6,11,66,206,45,5,75
Up Down (feat. Florida Georgia Line),Morgan Wallen,contemporary country,2018,2020‑12‑19,130,88,59,-3,15,79,197,8,4,75
Simple,Florida Georgia Line,contemporary country,2019,2020‑12‑19,200,88,36,-4,15,86,185,8,10,75
Rumor,Lee Brice,contemporary country,2017,2020‑12‑19,141,56,66,-7,12,60,198,75,5,75
Billionaire (feat. Bruno Mars),Travie McCoy,dance pop,2010,2020‑12‑19,87,67,63,-6,21,66,211,30,26,74
U Remind Me,Usher,atl hip hop,2001,2020‑12‑19,94,63,66,-5,25,73,267,19,8,74
With You,Chris Brown,dance pop,2007,2020‑12‑19,86,69,66,-4,14,66,252,13,7,74
The Show Goes On,Lupe Fiasco,alternative hip hop,2011,2020‑12‑19,143,89,59,-4,16,65,240,2,12,74
Where Is The Love?,Black Eyed Peas,dance pop,2003,2020‑12‑19,94,70,83,-3,13,80,273,11,20,74
She Will Be Loved,Maroon 5,pop,2002,2020‑12‑19,102,71,71,-6,13,54,257,6,3,74
Boulevard of Broken Dreams,Green Day,permanent wave,2004,2020‑12‑19,167,68,49,-4,4,51,261,0,3,74
Beauty And A Beat,Justin Bieber,canadian pop,2012,2020‑12‑19,128,84,60,-5,7,53,228,0,6,74
Marry You,Bruno Mars,dance pop,2010,2020‑12‑19,145,83,62,-5,10,48,230,33,4,74
Promiscuous,Nelly Furtado,canadian latin,2006,2020‑12‑19,114,98,80,-6,14,84,242,5,5,74
BedRock,Young Money,dirty south rap,2009,2020‑12‑19,148,66,73,-6,19,56,288,10,30,74
Best Thing I Never Had,Beyoncé,dance pop,2011,2020‑12‑19,99,65,55,-4,9,30,254,14,3,74
Poker Face,Lady Gaga,dance pop,2008,2020‑12‑19,119,81,85,-5,12,79,237,12,8,74
Irreplaceable,Beyoncé,dance pop,2007,2020‑12‑19,176,69,45,-5,17,51,228,3,38,74
Gives You Hell,The All-American Rejects,modern rock,2008,2020‑12‑19,100,69,72,-6,6,55,213,2,4,74
Hard To Forget,Sam Hunt,contemporary country,2020,2020‑12‑19,130,69,69,-6,57,66,205,23,5,74
Die From A Broken Heart,Maddie & Tae,contemporary country,2020,2020‑12‑19,76,52,60,-7,29,44,188,37,4,74
Every Other Memory,Ryan Hurd,contemporary country,2020,2020‑12‑19,103,73,63,-7,11,52,219,0,4,74
Just the Way,Parmalee,contemporary country,2019,2020‑12‑19,180,83,43,-3,32,81,194,11,6,74
Nobody But You (Duet with Gwen Stefani),Blake Shelton,contemporary country,2019,2020‑12‑19,144,65,46,-6,17,23,195,11,3,74
Eyes On You,Chase Rice,contemporary country,2017,2020‑12‑19,97,65,61,-7,20,48,182,32,3,74
The Good Ones,Gabby Barrett,contemporary country,2020,2020‑12‑30,90,55,52,-5,15,33,215,18,3,73
The Time (Dirty Bit),Black Eyed Peas,dance pop,2010,2020‑12‑30,128,81,82,-8,60,44,308,7,7,73
Starships,Nicki Minaj,dance pop,2011,2020‑12‑19,125,72,75,-2,25,75,211,14,8,73
Some Nights,fun.,baroque pop,2012,2020‑12‑19,108,74,67,-7,9,39,277,2,5,73
Your Love,The Outfield,album rock,1985,2020‑12‑19,130,76,56,-8,6,58,222,10,6,73
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,dance pop,2006,2020‑12‑19,76,72,69,-5,57,43,449,12,7,73
Dynamite,Taio Cruz,dance pop,2010,2020‑12‑19,120,80,75,-3,3,82,204,0,9,73
Animal,Neon Trees,indie poptimism,2010,2020‑12‑19,148,83,48,-6,37,74,212,0,4,73
The Lazy Song,Bruno Mars,dance pop,2010,2020‑12‑19,175,80,74,-4,28,95,190,33,6,73
OMG (feat. will.i.am),Usher,atl hip hop,2010,2020‑12‑19,130,75,78,-6,36,33,269,20,3,73
Just Dance,Lady Gaga,dance pop,2008,2020‑12‑19,119,74,82,-5,18,75,242,3,3,73
Crazy,Gnarls Barkley,atl hip hop,2006,2020‑12‑19,112,74,84,-2,8,61,182,2,3,73
Love Story,Taylor Swift,dance pop,2008,2020‑12‑19,119,74,62,-4,8,30,235,17,3,73
Keep Your Head Up,Andy Grammer,modern rock,2011,2020‑12‑19,90,78,67,-5,14,82,190,5,4,73
Give Your Heart a Break,Demi Lovato,dance pop,2011,2020‑12‑19,123,70,65,-3,14,57,205,23,5,73
Beautiful,Christina Aguilera,dance pop,2002,2020‑12‑19,76,57,46,-4,11,10,239,58,3,73
DONTTRUSTME,3OH!3,dance pop,2008,2020‑12‑19,130,71,79,-4,19,51,193,2,25,73
Good Life,OneRepublic,dance pop,2009,2020‑12‑19,95,69,63,-8,13,65,253,8,5,73
H.O.L.Y.,Florida Georgia Line,contemporary country,2016,2020‑12‑19,78,67,52,-4,7,56,194,40,3,73
House Party,Sam Hunt,contemporary country,2014,2020‑12‑19,104,86,75,-5,3,86,190,11,5,73
Marry Me,Thomas Rhett,contemporary country,2017,2020‑12‑19,85,41,33,-9,11,47,205,10,3,73
Does To Me (feat. Eric Church),Luke Combs,contemporary country,2019,2020‑12‑19,113,85,62,-5,31,64,223,31,4,73
Champagne Night - From Songland,Lady A,contemporary country,2020,2020‑12‑19,150,93,52,-3,17,94,185,3,5,73
One Number Away,Luke Combs,contemporary country,2017,2020‑12‑19,144,78,54,-6,19,53,222,1,3,73
Just About Over You - Radio Edit,Priscilla Block,contemporary country,2020,2020‑12‑19,150,79,55,-3,16,59,188,19,3,73
You Make It Easy,Jason Aldean,contemporary country,2018,2020‑12‑19,132,57,38,-5,11,41,197,14,3,73
Beer Can’t Fix,Thomas Rhett,contemporary country,2019,2020‑12‑19,111,77,71,-4,12,94,210,3,3,73
La Di Da,Lennon Stella,canadian pop,2018,2021‑01‑07,150,68,69,-6,22,48,210,20,5,72
Birds,Imagine Dragons,modern rock,2018,2020‑12‑25,120,52,65,-7,14,35,219,1,3,72
Unfaithful,Rihanna,barbadian pop,2006,2020‑12‑19,144,39,59,-9,23,35,227,84,3,72
SOS,Rihanna,barbadian pop,2006,2020‑12‑19,137,67,68,-5,41,53,239,0,4,72
Since U Been Gone,Kelly Clarkson,dance pop,2004,2020‑12‑19,131,74,66,-5,11,38,189,0,3,72
Shake It,Metro Station,electropowerpop,2007,2020‑12‑19,150,96,62,-4,49,79,180,0,8,72
You Belong With Me,Taylor Swift,dance pop,2008,2020‑12‑19,130,78,69,-4,11,44,231,16,4,72
As Long As You Love Me,Justin Bieber,canadian pop,2012,2020‑12‑19,140,87,57,-3,36,61,229,8,10,72
I'm with You,Avril Lavigne,canadian pop,2002,2020‑12‑19,152,41,46,-7,12,21,223,8,3,72
Fire Burning,Sean Kingston,dance pop,2009,2020‑12‑19,123,80,84,-3,33,89,240,2,3,72
Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,2010,2020‑12‑19,74,60,84,-5,39,33,242,2,16,72
As Long as You Love Me,Backstreet Boys,boy band,1997,2020‑12‑19,98,80,80,-5,22,83,221,28,3,72
Dirty Little Secret,The All-American Rejects,modern rock,2005,2020‑12‑19,144,95,47,-4,57,46,194,0,4,72
Ignition - Remix,R. Kelly,,2003,2020‑12‑19,133,52,80,-7,9,86,186,6,4,72
Coming Home,Diddy - Dirty Money,hip pop,2010,2020‑12‑19,168,84,39,-2,30,23,239,16,19,72
Not Over You,Gavin DeGraw,acoustic pop,2011,2020‑12‑19,142,89,63,-5,18,36,219,26,5,72
Do You Remember,Jay Sean,dance pop,2009,2020‑12‑19,126,67,86,-5,10,80,210,2,6,72
Hate That I Love You,Rihanna,barbadian pop,2008,2020‑12‑19,94,73,64,-5,10,73,219,32,9,72
hole in the bottle (with Shania Twain),Kelsea Ballerini,contemporary country,2020,2020‑12‑19,105,84,60,-5,37,78,156,11,11,72
Good as You,Kane Brown,contemporary country,2019,2020‑12‑19,154,52,63,-6,14,77,192,40,4,72
Small Town Boy,Dustin Lynch,contemporary country,2017,2020‑12‑19,73,74,55,-6,36,67,206,3,3,72
Look What God Gave Her,Thomas Rhett,contemporary country,2019,2020‑12‑19,113,85,74,-4,18,88,169,3,3,72
Greatest Love Story,LANCO,contemporary country,2018,2020‑12‑19,148,62,67,-9,12,62,223,40,6,72
Homesick,Kane Brown,contemporary country,2019,2020‑12‑19,97,50,70,-9,23,41,205,46,3,72
Lady,Brett Young,contemporary country,2020,2020‑12‑19,170,52,41,-8,9,43,193,42,4,72
I Don't Know About You,Chris Lane,contemporary country,2018,2020‑12‑19,144,81,59,-6,12,71,208,60,6,72
Gone Too Soon,Andrew Jannakos,,2020,2020‑12‑19,120,72,53,-6,36,46,169,2,4,72
Slow Dance In A Parking Lot,Jordan Davis,contemporary country,2018,2020‑12‑19,82,84,52,-4,17,52,194,30,3,72
Pump It,Black Eyed Peas,dance pop,2005,2020‑12‑30,154,93,65,-3,75,74,213,1,18,71
When You're Gone,Avril Lavigne,canadian pop,2007,2020‑12‑19,142,72,46,-4,23,17,240,19,3,71
Lighters,Bad Meets Evil,detroit hip hop,2011,2020‑12‑19,90,70,68,-8,12,14,304,35,25,71
Perfect,Simple Plan,canadian pop punk,2018,2020‑12‑19,156,67,49,-5,11,56,277,3,4,71
Over My Head (Cable Car),The Fray,neo mellow,2005,2020‑12‑19,116,73,59,-4,7,71,236,2,4,71
Cooler Than Me,Mike Posner,dance pop,2009,2020‑12‑19,129,52,84,-4,23,77,228,10,8,71
Better in Time,Leona Lewis,british soul,2007,2020‑12‑19,164,70,58,-4,13,55,234,51,5,71
We Belong Together,Mariah Carey,dance pop,2005,2020‑12‑19,140,46,84,-8,9,76,201,3,6,71
Kiss Kiss (feat. T-Pain),Chris Brown,dance pop,2007,2020‑12‑19,140,66,73,-3,7,55,251,5,23,71
Lollipop,Lil Wayne,hip hop,2008,2020‑12‑19,148,43,83,-9,14,45,299,6,8,71
Crush,David Archuleta,dance pop,2008,2020‑12‑19,162,66,57,-5,7,49,214,1,3,71
Picture (feat. Sheryl Crow),Kid Rock,alternative metal,2001,2020‑12‑19,98,50,69,-7,11,38,299,17,2,71
All To Myself,Dan + Shay,contemporary country,2018,2020‑12‑19,95,78,65,-5,13,56,170,21,3,71
What If I Never Get Over You,Lady A,contemporary country,2019,2020‑12‑19,93,72,58,-5,11,34,207,2,3,71
Need You Now,Lady A,contemporary country,2010,2020‑12‑19,108,62,59,-6,20,23,278,9,3,71
Every Little Thing,Russell Dickerson,contemporary country,2017,2020‑12‑19,94,85,64,-5,4,86,191,22,11,71
Hold You Tonight (with Chris Lane),Gryffin,dance pop,2020,2020‑12‑19,164,80,47,-4,26,47,219,10,7,71
Lonely If You Are,Chase Rice,contemporary country,2020,2020‑12‑19,85,73,68,-5,12,82,177,16,5,71
Singles You Up,Jordan Davis,contemporary country,2018,2020‑12‑19,200,91,49,-4,24,63,183,5,5,71
Right Back (feat. A Boogie Wit Da Hoodie),Khalid,alternative r&b,2019,2020‑12‑25,97,43,79,-10,16,56,255,9,31,70
You Make Me Feel... (feat. Sabi),Cobra Starship,dance pop,2011,2020‑12‑19,132,86,67,-3,4,75,216,2,5,70
Sexy Can I,Ray J,pop rap,2008,2020‑12‑19,172,69,57,-6,62,93,204,30,32,70
Right Above It,Lil Wayne,hip hop,2010,2020‑12‑19,76,84,38,-4,58,46,272,4,36,70
Rocketeer,Far East Movement,asian american hip hop,2010,2020‑12‑19,96,85,66,-6,27,36,211,18,5,70
I Kissed A Girl,Katy Perry,dance pop,2008,2020‑12‑19,130,76,70,-3,13,70,180,0,7,70
Glad You Came,The Wanted,boy band,2012,2020‑12‑19,127,84,61,-5,12,43,198,6,7,70
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,dance pop,2009,2020‑12‑19,113,93,75,-5,23,77,190,1,7,70
Miss Independent,Ne-Yo,dance pop,2008,2020‑12‑19,172,68,67,-6,24,71,232,52,12,70
Impossible,Shontelle,barbadian pop,2010,2020‑12‑19,90,62,60,-4,13,54,227,39,3,70
The Sweet Escape,Gwen Stefani,dance pop,2006,2020‑12‑19,120,77,76,-4,18,73,246,19,3,70
I Wanna Love You,Akon,dance pop,2006,2020‑12‑19,100,45,87,-9,28,37,247,4,4,70
Dead And Gone,T.I.,atl hip hop,2008,2020‑12‑19,135,75,71,-5,60,47,300,4,26,70
wAnt me back,Lindsay Ell,alberta country,2020,2020‑12‑19,156,70,54,-4,11,67,193,17,7,70
Unforgettable,Thomas Rhett,contemporary country,2017,2020‑12‑19,130,75,66,-5,8,83,157,3,3,70
This Is How We Roll,Florida Georgia Line,contemporary country,2013,2020‑12‑19,132,93,56,-3,41,72,221,2,4,70
Cool Again,Kane Brown,contemporary country,2020,2020‑12‑19,90,74,61,-5,36,77,165,2,4,70
Down To The Honkytonk,Jake Owen,contemporary country,2019,2020‑12‑19,82,81,63,-4,9,94,187,19,5,70
Blue Tacoma,Russell Dickerson,contemporary country,2017,2020‑12‑19,160,90,46,-5,17,73,212,2,4,70
Talk You Out Of It,Florida Georgia Line,contemporary country,2019,2020‑12‑19,120,71,65,-5,8,56,203,58,4,70
Blue Ain't Your Color,Keith Urban,australian country,2016,2020‑12‑19,82,42,69,-8,10,48,231,62,3,70
Stay,Rihanna,barbadian pop,2012,2020‑12‑19,112,31,62,-10,12,13,241,95,3,69
Want U Back,Cher Lloyd,dance pop,2011,2020‑12‑19,98,89,70,-3,47,57,214,7,8,69
Wide Awake,Katy Perry,dance pop,2012,2020‑12‑19,160,68,51,-5,39,57,221,7,4,69
Telephone,Lady Gaga,dance pop,2009,2020‑12‑19,122,83,83,-6,11,71,221,1,4,69
Party Rock Anthem,LMFAO,dance pop,2011,2020‑12‑19,130,73,75,-4,27,36,262,2,14,69
Bubbly,Colbie Caillat,acoustic pop,2007,2020‑12‑19,128,47,70,-7,11,25,196,60,4,69
Breakeven,The Script,celtic rock,2008,2020‑12‑19,94,70,63,-5,8,49,261,14,2,69
Pretty Girl Rock,Keri Hilson,dance pop,2010,2020‑12‑19,160,87,67,-5,9,90,244,20,25,69
Move Along,The All-American Rejects,modern rock,2005,2020‑12‑19,110,92,52,-4,29,65,239,0,5,69
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,Diddy,dance pop,1997,2020‑12‑19,110,62,83,-6,16,90,307,11,5,69
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2010,2020‑12‑19,126,81,65,-4,67,72,231,0,4,69
Fuck You,CeeLo Green,atl hip hop,2010,2020‑12‑19,127,83,69,-6,14,74,223,13,6,69
Ridin’ Roads,Dustin Lynch,contemporary country,2020,2020‑12‑19,142,82,55,-4,14,59,205,10,4,69
Take It From Me,Jordan Davis,contemporary country,2018,2020‑12‑19,100,89,59,-3,35,67,174,3,5,69
Best Shot,Jimmie Allen,contemporary country,2018,2020‑12‑19,156,46,63,-9,9,52,195,75,3,69
Ocean,Lady A,contemporary country,2019,2020‑12‑19,99,36,58,-8,13,30,210,84,3,69
Take Your Time,Sam Hunt,contemporary country,2014,2020‑12‑19,158,72,56,-6,21,48,244,10,4,69
Right Now (Na Na Na),Akon,dance pop,2008,2020‑12‑19,138,87,83,-4,41,57,241,27,17,68
Somebody Told Me,The Killers,modern rock,2004,2020‑12‑19,138,99,51,-3,12,65,197,0,9,68
It's Gonna Be Me,*NSYNC,boy band,2000,2020‑12‑19,165,87,64,-5,4,91,192,4,7,68
My Life Would Suck Without You,Kelly Clarkson,dance pop,2009,2020‑12‑19,145,88,53,-4,14,42,211,0,5,68
Too Little Too Late - 2018,JoJo,dance pop,2018,2020‑12‑19,83,82,39,-4,19,51,224,0,4,68
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020‑12‑19,126,91,71,-3,15,82,157,1,3,68
You're Beautiful,James Blunt,neo mellow,2005,2020‑12‑19,82,48,68,-10,9,45,209,63,3,68
Magic (feat. Rivers Cuomo),B.o.B,atl hip hop,2010,2020‑12‑19,82,93,55,-4,35,79,196,1,34,68
Let It Rock,Kevin Rudolf,dance pop,2008,2020‑12‑19,113,78,61,-4,7,43,231,0,4,68
Paparazzi,Lady Gaga,dance pop,2008,2020‑12‑19,115,69,76,-4,9,40,208,11,4,68
Don't Matter,Akon,dance pop,2006,2020‑12‑19,125,44,80,-6,33,35,293,24,4,68
Take Back Home Girl (feat. Tori Kelly),Chris Lane,contemporary country,2018,2020‑12‑19,160,80,49,-4,10,64,212,39,7,68
Hotel Key,Old Dominion,contemporary country,2017,2020‑12‑19,102,87,76,-5,31,96,167,15,5,68
Drowning,Chris Young,contemporary country,2019,2020‑12‑19,76,66,44,-5,9,32,190,21,4,68
To a T,Ryan Hurd,contemporary country,2019,2020‑12‑19,120,64,69,-6,11,66,179,17,3,68
Catch,Brett Young,contemporary country,2018,2020‑12‑19,156,77,57,-6,8,60,196,2,4,68
Good Girl,Dustin Lynch,contemporary country,2020,2020‑12‑19,81,70,71,-5,17,69,190,16,9,68
God Whispered Your Name,Keith Urban,australian country,2020,2020‑12‑19,146,60,59,-7,15,50,232,31,5,68
This is Us,Jimmie Allen,contemporary country,2020,2020‑12‑19,145,88,55,-4,6,49,206,15,3,68
Lose It,Kane Brown,contemporary country,2019,2020‑12‑19,92,85,54,-5,25,44,179,0,3,68
Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,2009,2020‑12‑31,116,57,53,-7,26,27,232,11,11,67
Locked Away (feat. Adam Levine),R. City,reggae fusion,2015,2020‑12‑19,122,68,51,-6,5,57,227,33,7,67
Bulletproof,La Roux,alternative dance,2009,2020‑12‑19,123,88,67,-3,7,68,206,0,5,67
Break Your Heart,Taio Cruz,dance pop,2010,2020‑12‑19,122,90,67,-5,7,63,186,0,3,67
Hot N Cold,Katy Perry,dance pop,2008,2020‑12‑19,132,84,71,-4,7,86,220,0,4,67
Young Forever,JAY-Z,east coast hip hop,2009,2020‑12‑19,140,69,64,-3,21,10,254,42,7,67
In the End,Linkin Park,alternative metal,2000,2020‑12‑19,105,84,56,-7,9,46,217,1,6,67
Teenage Dream,Katy Perry,dance pop,2010,2020‑12‑19,120,80,72,-5,13,59,228,2,4,67
Knock You Down,Keri Hilson,dance pop,2009,2020‑12‑19,155,88,59,-5,17,65,326,1,16,67
Collide,Howie Day,acoustic pop,2003,2020‑12‑19,94,63,64,-8,12,34,249,22,3,67
Good Girls Go Bad (feat. Leighton Meester),Cobra Starship,dance pop,2009,2020‑12‑19,120,87,59,-4,55,63,196,1,8,67
More Hearts Than Mine,Ingrid Andress,contemporary country,2019,2020‑12‑19,81,43,57,-7,11,40,214,11,3,67
Craving You,Thomas Rhett,contemporary country,2017,2020‑12‑19,105,84,61,-4,34,53,224,0,4,67
Just A Kiss,Lady A,contemporary country,2011,2020‑12‑19,143,64,59,-6,10,33,219,45,3,67
Remember You Young,Thomas Rhett,contemporary country,2019,2020‑12‑19,114,51,40,-6,11,30,180,36,3,67
On Me (feat. Ava Max) - From 'SCOOB!' The Album,Thomas Rhett,contemporary country,2020,2020‑12‑19,178,72,55,-4,22,59,165,1,5,67
Like I Loved You,Brett Young,contemporary country,2017,2020‑12‑19,76,57,58,-6,8,64,207,20,3,67
ONE BEER (feat. Lauren Alaina & Devin Dawson),HARDY,contemporary country,2020,2020‑12‑19,186,75,52,-8,28,83,173,56,8,67
Done,Chris Janson,contemporary country,2019,2020‑12‑19,105,84,56,-3,7,76,220,34,3,67
So Good,B.o.B,atl hip hop,2012,2020‑12‑19,86,90,66,-5,22,59,213,4,14,66
Summer Paradise (feat. Sean Paul) - Single Version,Simple Plan,canadian pop punk,2011,2020‑12‑19,172,82,42,-4,9,75,235,1,5,66
